* all_FIs_FiMi.csv
*
* FiMi-Symbol;LongName;Type;Native Market;Provider-Symbol-Market;Provider-Symbol-Market
ESRX;EXPRESS SCRIPTS CO;Stock;NASDAQ;Yahoo ESRX NASDAQ;
EXPD;EXPEDITORS INTL;Stock;NASDAQ;Yahoo EXPD NASDAQ;
EXPE;EXPEDIA;Stock;NASDAQ;Yahoo EXPE NASDAQ;
FAST;FASTENAL CO;Stock;NASDAQ;Yahoo FAST NASDAQ;
FISV;FISERV INC;Stock;NASDAQ;Yahoo FISV NASDAQ;
FLEX;FLEXTRONICS INTL;Stock;NASDAQ;Yahoo FLEX NASDAQ;
GENZ;GENZYME CORPORATION;Stock;NASDAQ;Yahoo GENZ NASDAQ;
GILD;GILEAD SCIENCES;Stock;NASDAQ;Yahoo GILD NASDAQ;
GOOG;GOOGLE;Stock;NASDAQ;Yahoo GOOG NASDAQ;
GRMN;GARMIN LTD;Stock;NASDAQ;Yahoo GRMN NASDAQ;
IACI;IAC/INTERACTIVE;Stock;NASDAQ;Yahoo IACI NASDAQ;
INFY;INFOSYS TECHN ADS;Stock;NASDAQ;Yahoo INFY NASDAQ;
INTC;INTEL CP;Stock;NASDAQ;Yahoo INTC NASDAQ;
INTU;INTUIT INC;Stock;NASDAQ;Yahoo INTU NASDAQ;
ISRG;INTUITIVE SURG INC;Stock;NASDAQ;Yahoo ISRG NASDAQ;
JNPR;JUNIPER NETWORKS;Stock;NASDAQ;Yahoo JNPR NASDAQ;
JOYG;JOY GLOBAL INC;Stock;NASDAQ;Yahoo JOYG NASDAQ;
KLAC;KL A-TENCOR CP;Stock;NASDAQ;Yahoo KLAC NASDAQ;
LAMR;LAMAR ADVERTIS A;Stock;NASDAQ;Yahoo LAMR NASDAQ;
LBTYA;LIBERTY GLOBAL CL-A;Stock;NASDAQ;Yahoo LBTYA NASDAQ;
LINTA;LIBERTY MED INT A;Stock;NASDAQ;Yahoo LINTA NASDAQ;
LLTC;LINEAR TECHNOLOGY;Stock;NASDAQ;Yahoo LLTC NASDAQ;
LOGI;LOGITECH INT SA;Stock;NASDAQ;Yahoo LOGI NASDAQ;
LRCX;LAM RESEARCH CP;Stock;NASDAQ;Yahoo LRCX NASDAQ;
LVLT;LEVEL 3 COMM INC;Stock;NASDAQ;Yahoo LVLT NASDAQ;
MCHP;MICROCHIP TECH;Stock;NASDAQ;Yahoo MCHP NASDAQ;
MEDI;MEDIMMUNE INC;Stock;NASDAQ;Yahoo MEDI NASDAQ;
MICC;MILLICOM INTL CELL;Stock;NASDAQ;Yahoo MICC NASDAQ;
MNST;MONSTER WORLDWIDE;Stock;NASDAQ;Yahoo MNST NASDAQ;
